epoch;accuracy;f1;loss;val_accuracy;val_f1;val_loss
0;0.6542619466781616;0.6462052464485168;0.4610273540019989;0.8538360595703125;0.8516761064529419;0.28810885548591614
1;0.7535390257835388;0.7459959983825684;0.383719265460968;0.886732816696167;0.8856887817382812;0.20685067772865295
2;0.818943440914154;0.8163909912109375;0.2862107455730438;0.835063636302948;0.8354809880256653;0.1987481266260147
3;0.8221212029457092;0.819395124912262;0.2801453173160553;0.9188655018806458;0.9182021617889404;0.1334039270877838
4;0.8400322794914246;0.8376179933547974;0.2601286470890045;0.8855854868888855;0.8852770328521729;0.18820500373840332
5;0.8725921511650085;0.8699201941490173;0.21964511275291443;0.9100247621536255;0.9089001417160034;0.14656278491020203
6;0.8755411505699158;0.8731874227523804;0.21832944452762604;0.907609224319458;0.9032143354415894;0.1537577211856842
7;0.8854090571403503;0.8829131126403809;0.21379095315933228;0.9408076405525208;0.9400403499603271;0.11064782738685608
8;0.8725013136863708;0.8710823655128479;0.2142869383096695;0.9365603923797607;0.9360040426254272;0.10489118099212646
9;0.861903727054596;0.8594262599945068;0.2350112646818161;0.9011611938476562;0.9007078409194946;0.16197513043880463
10;0.889315128326416;0.8871482610702515;0.1983257532119751;0.8928785920143127;0.8917900323867798;0.1681741625070572
11;0.8899198770523071;0.8877951502799988;0.20630288124084473;0.9248369932174683;0.9239901304244995;0.1250983029603958
12;0.8788843750953674;0.8768935203552246;0.2055376023054123;0.9107161164283752;0.9102010726928711;0.15695637464523315
13;0.888310432434082;0.8862670660018921;0.19777493178844452;0.8909794688224792;0.8902158141136169;0.21036355197429657
14;0.8864191770553589;0.8847557306289673;0.19794052839279175;0.9518714547157288;0.9510982036590576;0.09194983541965485
15;0.9009297490119934;0.8990281820297241;0.1873570829629898;0.8803123831748962;0.8797115683555603;0.2920306921005249
16;0.897720992565155;0.8955790400505066;0.1919621080160141;0.934403657913208;0.933996319770813;0.12206406146287918
17;0.8787689208984375;0.8768651485443115;0.22341293096542358;0.9252313375473022;0.9241821765899658;0.12199965119361877
18;0.8826478719711304;0.8801072239875793;0.20782847702503204;0.9177240133285522;0.9172601103782654;0.13373936712741852
19;0.8987036943435669;0.8975552320480347;0.1894867718219757;0.9280601143836975;0.9274617433547974;0.12715871632099152
20;0.8930057287216187;0.8909841775894165;0.19773288071155548;0.8943833708763123;0.8937001824378967;0.16848737001419067
21;0.8979619145393372;0.8963721394538879;0.1837693601846695;0.9287684559822083;0.9282178282737732;0.125747412443161
22;0.8858369588851929;0.8840742111206055;0.1915835738182068;0.923018217086792;0.9224897623062134;0.11834557354450226
23;0.8905256390571594;0.8889154195785522;0.18121588230133057;0.9159440398216248;0.9151588082313538;0.141567200422287
24;0.8974904417991638;0.8953086733818054;0.19450518488883972;0.9421862363815308;0.9410756230354309;0.10540180653333664
25;0.8945853114128113;0.8930209875106812;0.19379787147045135;0.897793710231781;0.8972389698028564;0.15544326603412628
0;0.6880165934562683;0.671335756778717;0.44383591413497925;0.7351371645927429;0.7344008088111877;0.4091815948486328
1;0.8101533651351929;0.8032441735267639;0.34202900528907776;0.8826934695243835;0.8600084185600281;0.2534946799278259
2;0.8538516759872437;0.8500707745552063;0.24882380664348602;0.850960910320282;0.8480863571166992;0.2456815242767334
3;0.8586106896400452;0.8557072877883911;0.22925184667110443;0.8828697204589844;0.8810107111930847;0.19459882378578186
4;0.8718526363372803;0.8684539794921875;0.22933737933635712;0.8444011807441711;0.8414791226387024;0.2689175009727478
5;0.8650715947151184;0.8629061579704285;0.21965764462947845;0.8957767486572266;0.8917643427848816;0.20876196026802063
6;0.8980293869972229;0.8948118686676025;0.1885789930820465;0.8713520169258118;0.8700064420700073;0.21001358330249786
7;0.8739176392555237;0.8714828491210938;0.21398669481277466;0.9041194915771484;0.9020746946334839;0.174361914396286
8;0.8672098517417908;0.8642393350601196;0.2179291546344757;0.8716751337051392;0.8689120411872864;0.227365180850029
9;0.8862150311470032;0.8843134641647339;0.19263894855976105;0.8748103976249695;0.8729938268661499;0.2126043140888214
